Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia 
Ethel Dobbie Currie (4 de diciembre de 1899-24 de marzo de 1963);1899;24-mar;Ethel Dobbie Currie(4 de diciembre de 1899-24 de marzo de 1963)La geóloga Ethel Dobbie Currie (1899-1963) nació un 4 de diciembre.Fue una de las primeras mujeres en entrar como miembro de la Royal Society of Edinburgh.Desde 1920 fue asistente del geólogo William Smellie en el Museo Hunterian.Obtuvo su doctorado en 1923. Sus intereses iniciales en investigación se centraron en la paleontología, su primera publicación fue un artículo conjunto con el geólogo John Gregory sobre fósiles de erizos de mar. Entre otros, dirigió un estudio sobre goniatítidos escoceses del Carbonífero.Autora de tres libros, recibió numerosos reconocimientos por su trabajo.;geóloga;no;-;-;-;Escocia;-
Florence Parpart (1900?);1900;24-mar;Florence Parpart fue la inventora del refrigerador eléctrico moderno.Nacida en Nueva York, tuvo una vida discreta como ama de casa hasta que el 14 de octubre de 1904, aún soltera, obtuvo su primera patente para una mejora en una máquina de barrido industrial , que vendió en varias ciudades de Estados Unidos para limpiar las calles. Parpart no fue la primera en patentar la barredora de calles, sin embargo, ya que la patente original de barredora de calles fue otorgada a Eureka Frazer Brown en 1879. Después de que ella le había rociado en el barro por una de las barredoras callejeras de Eureka Frazer Brown en 1893, se propuso abordar este punto de dolor y hacer que el barrido de calles fuera más limpio. En 1900 había recibido la patente de una nueva barredora de calles mejorando el proceso de fabricación, lo que permitió un uso más amplio. Dos años más tarde, la innovación de Parpart estaba barriendo la nación (literal y figurativamente) mientras desembarcaba contratos en muchas ciudades que llegaba hasta San Francisco, CA en la costa oeste. Después de casarse con Hiram D. Layman, el 24 de marzo de 1914 obtuvo una patente para un refrigerador eléctrico, mejorando modelos anteriores y dejando, por fin, cajas de hielo obsoletas que se utilizaban hasta entonces.Con experiencia empresarial con su patente anterior, la pareja logró comercializar sus refrigeradores con bastante éxito en todo el país;Inventora;no;2024;-;-;EEUU;-
Jane Drew (24 de marzo de 1911 - 27 de julio de 1996);1911;24-mar;Un 24 de marzo nació la arquitecta, urbanista y coleccionista de arte JANE BEVERLY DREW (1911-1996). Nació en Thornton Heath, Inglaterra. Estudió en la Architectural Association School de Londres (1929). En 1934 se casó con Jim Alliston (de quién se separó). Tuvieron 2 hijas (una murió). Durante la guerra inició un estudio con sólo mujeres, poniéndose así a la vanguardia social, pero fue bombardeado y con él sus proyectos iniciales. Fue fundadora y promotora del Grupo MARS: asociación de arquitectos, artistas e industriales para difundir las ideas y prácticas del Movimiento Moderno en Gran Bretaña. Allí conoció a Henry Moore, Le Corbusier, Elizabeth Lutyens y Maxwell Fry, con quien se casó en 1942. Fundaron Fry, Drew & partners para la planificación a gran escala en los países tropicales. De 1944-46 fue asesora urbanística para las colonias británicas de África occidental. Fueron invitados por el 1º ministro indio a diseñar Chandigarh, la nueva capital del Punjab, y pidieron colaboración a Le Corbusier. Experimentó con nuevas estrategias de vivienda social e influyó sobre las autoridades para la formación y apoyo de los jóvenes proyectistas y planificadores locales para dar continuidad a sus iniciativas. De vuelta a Inglaterra, se dedicaron a la arquitectura habitacional. En los 80, se convirtió en la 1ª mujer Profesora Titular en Harvard y MIT y en la 1ª mujer en presidir la AA (Architectural Association) como miembro del consejo del RIBA (Royal Institute of British Architects). Fue una de las promotoras del establecimiento del Institute of Contemporary Arts de Londres. Su actitud crítica contra el Apartheid contribuyó a que se implementara un sistema de Arquitectura educacional integrada en Sudáfrica. Fue nombrada Dama del Imperio Británico por sus contribuciones en el campo de la planificación, la arquitectura y la educación. Tras su muerte se creó el Jane Drew Prize para reconocer y promover la innovación, la inclusividad y la diversidad en arquitectura. Cartel hecho por @pilar_terron #JaneDrew #arquitectura #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;arquitecta;si;2022;-;-;Inglaterra;-
Joy Buolamwini (Edmonton, 1989;1989;24-mar;El 14 de septiembre de 2016, Buolamwini compareció en la cumbre Computer Science for All en la Casa Blanca. Joy Adowaa Buolamwini (Edmonton, 1989) es una informática y activista digital ghanesa-estadounidense que trabaja para en el MIT Media Lab. Fundó la Algorithmic Justice League, una organización que buscaba desafiar el sesgo del software en la toma de decisiones. Buolamwini nació en Canadá, creció en Misisipi y asistió al Instituto Cordova.A los 9 años, basándose en el Robot Kismet, del Instituto de Tecnología de Massachusetts (MIT), y aprendió de manera autodidacta XHTML, Javascript y PHP.3​4​5​ Fue saltadora de pértiga profesional.Como universitaria, Buolamwini estudió informática en el Instituto de Tecnología de Georgia, donde investigó informática médica.​ Fue becada en el Programa de Becas Stamps President's Scholar en el Instituto de Tecnología de Georgia en 2012, y fue la finalista más joven del Premio de Tech InVenture de Georgia en 2009. Consiguió las becas Rhodes, Fulbright, Stamps, Astronaut y la del Instituto Anita Borg. Como becaria de Rhodes, estudió educación y tecnología en la Universidad de Oxford. Durante su beca, participó en el primer Servicio del Año, trabajando en proyectos para la comunidad.​ Se licenció por el MIT en 2017 con una investigación supervisada por el ciberactivista Ethan Zuckerman. En 2011, formó parte del programa Tracoma en el Centro Carter, para desarrollar un sistema de diagnóstico en Etiopía basado en Android para ayudar en la erradicación de la enfermedad en todo el mundo. Durante su beca del Programa Fulbright en 2013, Buolamwini trabajó con informáticos locales en Zambia para empoderar a los jóvenes de Zambia para convertirse en creadores de tecnología. Como investigadora en el MIT Media Lab, identificó el sesgo en los algoritmos y desarrolló una política de responsabilidad durante su diseño, en el MIT, Buolamwini es miembro del Centro de Medios Cívicos de Ethan Zuckerman. urante su investigación, Buolamwini descubrió que los sistemas de reconocimiento facial tenían dificultades para identificar a las mujeres de piel oscura, preguntando al software identificar hombre o mujeres a partir de 1.000 caras. Su proyecto, Sombras de Género, atrajo la atención de importantes medios de comunicación y formó parte de su tesis en el MIT.24​25​26​27​28​29​30​31​ Su publicación del 24 de marzo de 2018, Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification, logró la reacción de IBM y Microsoft, quienes rápidamente mejoraron su software.32​33​ También creó el Espejo de las Aspiraraciones, un dispositivo que te muestra un reflejo de ti mismo a partir de aquello que te inspira.Su programa, Liga de Justicia Algorítmica, denuncia el sesgo en el código que puede llevar a la discriminación de grupos minoritarios​ Ha creado dos películas, 'Code4Rights' y 'Liga de Justicia Algorítmica: Desenmascarando Sesgo'.​ Es Jefa de Tecnología en Techturized Inc., un compañía tecnológica de cuidado capilar;Informática;no;-;-;-;Ghana;-
Kate Sessions (8 de noviembre de 1857-24 de marzo de 1940);1857;24-mar;"Katherine Olivia ""Kate"" Sessions (8 de noviembre de 1857-24 de marzo de 1940). La botánica y arquitecta paisajista Kate Sessions (1857-1940) nació un 8 de noviembre.Se le conoce como la madre del parque Balboa: introdujo varias especies de árboles y plantas (incluso viajó a Europa para elegirlas) en San Diego (California), una zona con muy poca vegetación.Junto a Alfred D. Robinson fundó la San Diego Floral Association en 1907, el club de jardinería más antiguo del Sur de California.";Botánica, Arquitecta, paisajista;no;-;-;-;EEUU;-
Kathrin Barboza;-;24-mar;Un 24 de marzo 2012 fue premiada por el influyente L’Oreal-Unesco para Mujeres en la Ciencia Kathrin Barboza, la científica boliviana que susurraba a los murciélagos, convirtiendos e en la primera mujer latinoaemericana en rcibir ese premio. es bióloga de la Universidad Mayor de San Simón en Bolivia y magíster en Biología y Conservación de Áreas Tropicales de la Universidad Internacional Menéndez Pelayo, en España. En 2006, junto con una colega, descubrió Lonchorhina aurita, una especie conocida como el murciélago boliviano de nariz de espada, considerada como extinta en Bolivia hace 72 años. En 2010, obtuvo la Beca para Jóvenes Exploradores de la National Geographic y, posteriormente, se convirtió en la primera científica boliviana en ganar el Premio L’Oréal-UNESCO a Mujeres en Ciencia. Ha sido nombrada como parte de las diez mujeres de ciencia más importantes de Latinoamérica.;Bióloga;no;-;-;-;Bolivia;-
Kono Yasui ( 16 de febrero de 1880 – 24 de marzo de 1971);1880;24-mar;Kono Yasui ( 16 de febrero de 1880 – 24 de marzo de 1971) fue una bióloga y bioquímica celular japonesa. En 1927 se convirtió en la primera mujer japonesa en doctorarse en ciencias. Se centró en el estudio de la estructura del lignito, el carbón y el carbón bituminoso en JApón. Investigó la genética de las amapolas, el maiz y las especies de Tradescantia. En 1945 inició un estudio de las platas radioactivas después de los bombardeos de Hirohima;Bioquímica;no;-;-;-;Japón;-
Margaret Lindsay, Lady Huggins (14 de agosto de 1848– 24 de marzo de 1915);1848;24-mar;"Margaret Lindsay, Lady Huggins (Londres, 14 de agosto de 1848, Dublín – 24 de marzo de 1915),​ de soltera Margaret Lindsay Murray, fue una investigadora científica y astrónoma británica irlandesa.2​3​4​5​6​7​8​ Junto con su marido William Huggins fue una pionera en el campo de espectroscopia y coautora del ""Atlas of Representative Stellar Spectra"" (Atlas Representativo del Espectro Estelar) (1899). Margaret Lindsay Huggins, la astrónoma e impulsora de la espectroscopía que pasó a la historia como asistente de su marido pero que fue mucho más que eso. La espectroscopía estudia la interacción de la radiación electromagnética con la materia y es una de las herramientas que los astrónomos tienen para estudiar el espacio y sus distintos elementos al observarlos desde la Tierra. Cómo se refleja o se absorbe esa radiación nos dice mucho sobre los elementos que forman un planeta y su atmósfera, una nebulosa o cualquier otro cuerpo espacial, así como conocer su trayectoria, su distancia y también su antigüedad. Esto, que a día de hoy se conoce y se aplica en observatorios astronómicos de todo el mundo con distintos y muy precisos instrumentos, se lo debemos en gran medida a Margaret Lindsay Huggins, astrónoma británico-irlandesa que vivió a finales del siglo XIX y principios del XX. Aunque en la mayoría de las crónicas, biografías y necrológicas que se escribieron durante su vida y tras su muerte se la describe como una diligente y capaz ayudante de su marido, el astrónomo William Huggins, el análisis de sus escritos y de la correspondencia entre ambos prueban que en realidad fue más que una asistente: sus opiniones eran tenidas en cuenta a la hora de dirigir las investigaciones que en realidad eran conjuntas. Huggins, junto con su amiga y también astrónoma Agnes Clerke, fue elegida en 1903 miembro honorario de la Real Sociedad Astronómica, una distinción que solo otras dos mujeres previamente habían obtenido @Nomorematildas";Astrónoma;no;-;-;-;Inglaterra;-
María Soriano Llorente (12 de junio de 1900 - 24 de marzo de 1996);1900;24-mar;El 12 de junio nació en Valencia la pionera de la pedagogía terapéutica MARÍA SORIANO LLORENTE (1900-1996) que recibió a título póstumo la Gran cruz de la Orden de Alfonso X el Sabio en 1999 por su labor impulsora del Instituto de Pedagogía Terapéutica como institución de psicología experimental que adaptó las técnicas y métodos de otros países a las características propias de la población española.Era hija de un ingeniero y una maestra. En 1919 obtuvo el título de maestra de Primera Enseñanza (Escuela Normal de Guadalajara) y en 1923 de profesora de Ciencias (Escuela de Estudios Superiores de Magisterio, Madrid). Ese año, tras ser el nº1 en la oposición, fue nombrada directora la Escuela Central de Anormales renombrada Instituto de Pedagogía Terapéutica, donde se jubiló.Preocupada en profundizar sus conocimiento fue s, con una beca de la Junta de Ampliación de Estudios (JAE), a Francia, Suiza, Austria y Alemania a conocer sus trabajos en educación especial.En 1933 se tituló en Psicología Aplicada del Instituto de Orientación Profesional de París. Se especializó en Suiza en Psicomotricidad (1941) y en Fonoaudiología y Logopedia en la Facultad de Medicina de París (1953).En 1976 fundó la Asociación Española para la Educación Especial (AEDES). Fue miembro del Consejo Directivo de la European Association for Special Education (EASE) y representó a España en la UNESCO, la Organización Mundial de la Salud (OMS) o el Fondo de Naciones Unidas para la Infancia (UNICEF).Entre sus reconocimientos figuran la Encomienda con Placa de la Orden Civil de Alfonso X el Sabio (1967), la Gran Cruz de la Orden Civil de Beneficencia (1969), nombrada Embajadora de le Educación Especial en España y Europa hacia Iberoámerica por la UNESCO (1981) y el Premio Reina Sofía a su decisiva contribución a la integración escolar (1991).Dijo: “No he sido yo, han sido mis colaboradores, todo se lo debo a los niños y sus familias.Fue madre de un hijo y dos hijas con Ruperto Fontanilla. Murió en Madrid un 24 de marzo.#MaríaSorianoLlorente#pedagogía#psicología#EducaciónEspecial#MujeresEnCiencia#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoyCartel de @pilar_terron;Psicóloga, maestra;si;Nacimiento en 2023;Cartel el 12 de junio;-;España;-
Milliana Kroumova Kaisheva (1 de noviembre de 1945 - 24 de marzo de 2003);1945;24-mar;La física química Milliana Kroumova Kaisheva (1945-2003) nació un 1 de noviembre. Milliana Kroumova Kaisheva (en búlgaro: Миляна Крумова Кайшева) (1 de noviembre de 1945 en Sofía, Bulgaria - 24 de marzo de 2003 en Sofía, Bulgaria)Es conocida por su trabajo en electroquímica y química de coloides.Sus principales temas de investigación fueron el estudio de la capacitancia de la doble capa de moléculas orgánicas de tensoactivos en un electrodo de gota de mercurio y el estudio de películas delgadas líquidas formadas por tensoactivos.;Física-Química;no;-;-;-;Bulgaria;-
Nan Laird (18 de septiembre de 1943);1943;24-mar;Un 24 de marzo de 2021 la bioestadística Nan McKenzie Laird (1943) recibió el premio Internacional de estadística 2021 (conocido como el Nobel de esa disciplina) por proporcionar las herramientas estadísticas para el análisis de datos longitudinales. Con ellas se facilita la respuesta a importantes preguntas en aplicaciones de salud, medicina o psicología.premio Internacional de estadística 2021 (conocido como el Nobel de esa disciplina) por proporcionar las herramientas estadísticas para el análisis de datos longitudinales. Con ellas se facilita la respuesta a importantes preguntas en aplicaciones de salud, medicina o psicología.Nan McKenzie nació en Gainesville (Florida, EEUU) y empezó a estudiar matemáticas en la Rice University (1961, Houston,Texas). Como era la única chica de su clase y encontraba el curso demasiado teórico, abandonó y empezó a estudiar francés. Su boda y su primer hijo (de 3) la empujaron a pausar su carrera hasta que volvió a la Universidad empezando informática y graduándose finalmente en estadística (Georgia, 1969). Estaba fascinada con la idea de que uno pudiera usar fórmulas matemáticas para tomar decisiones en la vida, incluso las más mundanas y se doctoró en Harvard en 1975. Allí estuvo de profesora de bioestadística en la Escuela de Salud Pública T.H. Chan hasta su retiro (actualmente es emérita). Ha publicado tres libros de gran relevancia y más de 400 artículos sobre análisis de datos longitudinales, y aplicaciones y métodos de bioestadística, incluido el algoritmo de maximización de expectativas.Fue directora del Departamento de 1990 a 1999 y Miembro de la Asociación Estadounidense de Estadística, del Instituto de Estadística Matemática y del Instituto Internacional de Estadística.Ha recibido otros premios como el Janet L. Norwood de la Universidad de Alabama (2003) celebrando las excelentes contribuciones de mujeres en las ciencias estadísticas, el Samuel S. Wilks Memorial Award (2011), y el Marvin Zelen (2015) por su liderazgo en las ciencias estadísticas.En sus propias palabras “Siempre me ha gustado desarrollar modelos que otras personas puedan aplicar”.Cartel hecho por @pilar_terron#NanLaird #estadística #bioestadística #WomenInMaths #Matemáticas #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;estadística;si;nacimiento en 2021;Cartel el 18 de septiembre;-;EEUU;-
Qiaomei Fu (24 de marzo de 1982);1982;24-mar;Qiaomei Fu (Jiangxi, República Popular China,24 de marzo de 1982) es una paleogenetista e investigadora china, es directora del laboratorio sobre ADN antiguo en el Instituto de Paleontología de Vertebrados y Paleoantropología (IVPP) de Pekín. Sus investigaciones se centran en los primeros humanos modernos que se establecieron en Ásia donde podrían haber llegado hace más de 100 000 años.1;paleogenetista;no;-;-;-;-;-
Sun-Yung Alice Chang (24 de marzo de 1948);1948;24-mar;La matemática Sun-Yung Alice Chang (1948) nació un 24 de marzo. Es especialista en algunos aspectos de análisis matemático, que van desde el análisis armónico y las ecuaciones en derivadas parciales hasta la geometría diferencial.Cartel hecho por @pilar_terron;matemática;no;-;-;-;-;-
Victoria Raquel Bajar Simsolo (6 de julio de 1942 - 24 de marzo de 2016);1942;24-mar;La informática Victoria Raquel Bajar Simsolo (1942-2016) nació un 6 de julio.Fue la primera mujer graduada en la carrera de Computador Científico en Argentina.Fue encargada de la División de Desarrollo de Sistemas del Centro Nacional de Cálculo y Coordinación General de Servicios Informáticos del Instituto Politécnico Nacional.Impulsó el desarrollo de carreras de informática en México. Allí fundó varias escuelas superiores y desarrolló diversos planes de carreras para universidades.Es autora de dos libros de computación y uno de gestión académica, más de cuarenta artículos de investigación y también autora de software.;Informática;no;-;-;-;Argentina;-
Caroline Herzenberg (25 marzo de 1932);1932;25-mar;La física Caroline Herzenberg (1932) nació un 25 de marzo.Su investigación ha abarcado desde la física experimental nuclear de baja energía hasta el estudio del denominado efecto Mössbauer (utilizando la espectroscopia Mössbauer) y sus aplicaciones geológicas.Ha contribuido al conocimiento de la historia de las mujeres en la ciencia publicando artículos y capítulos en libros sobre el tema. En 1986 publicó Women Scientists from Antiquity to the Present y en 1999, junto a Ruth Howes, Their Day in the Sun: Women of the Manhattan Project.Es miembro de la Asociación Estadounidense para el Avance de la Ciencia y de la Sociedad Estadounidense de Física, y fue presidenta de la Association for Women in Science entre 1988 y 1990.;Física;no;-;-;-;EEUU;-
Florence van Straten, también conocida como Flossie van Straten, (12 de noviembre de 1913 – 25 de marzo de 1992);1913;25-mar;"Un 12 de noviembre nació la ingeniera aerológica conocida por sus contribuciones al progreso de la ciencia de la meteorología naval Florence “Flossie” van Straten, (1913 –1992). Hija de inmigrantes holandeses, nació en Darien (Connecticut, EEUU). Se graduó en Química en la Universidad de Nueva York. Se doctoró en el MIT (1942). Tras el ataque a Pearl Harbor, la Marina entrenó a meteorólogos y creó el programa Women Accepted for Volunteer Emergency Service (WAWES). Flossie entró en el servicio de Aerología Naval luego como asesora del jefe de Operaciones Navales y más tarde en I + D del Servicio Meteorológico Naval. Desarrolló métodos de uso de los fenómenos meteorológicos en operaciones de combate, en la planificación de maniobras de barcos y vuelos de aviones con base en portaaviones. Escribió el informe sobre los ataques aéreos tácticos sobre las islas de la Micronesia con el fin de comprender las aplicaciones meteorológicas en las operaciones futuras. Desarrolló el globo meteorológico de altitud constante. Participó en el desarrollo del cohete sonda para la recolección de datos en la atmósfera superior sugiriendo el uso de dichos datos en la planificación de la trayectoria de los lanzamientos de cohetes y ayudando al desarrollo de la tecnología de misiles de largo alcance. Desarrolló una técnica para modificar las nubes y producir lluvia mediante la inyección de carbono la atmósfera. Patentó un dispositivo acústico para la prevención de la acumulación de hielo en los aviones. Contribuyó al desarrollo de la estación meteorológica flotante ""Navy Oceanographic Meteorological Automatic Device"" (NOMAD) y de una una caseta protectora para instrumentos meteorológicos. En 1958 la rama femenina de la Sociedad de la medicina aeronáutica de América la nombró mujer del año. Se jubiló en 1962, pero continuó como consultora de la Marina para cuestiones de física atmosférica hasta 1973. Murió de cáncer con 78 años. Cartel hecho por @pilar_terron #FlossievanStraten #Ingenieras #MeteorologíaNaval #Meteorología #SheStem #womeninstem #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy";Ingeniera naval;si;Nacimiento en 2021;Cartel el 12 de noviembre;-;EEUU;-
Frances Glessner Lee (25 de marzo de 1878 - 27 de enero de 1962;1878;25-mar;Frances Glessner Lee (25 de marzo de 1878 - 27 de enero de 1962 fue una médico forense estadounidense que revolucionó el estudio de la criminalística. También fue la fundadora del departamento de medicina legal de la Universidad de Harvard, el primer programa de estudios dedicado al estudio de la medicina forense en Estados Unidos. LA MADRE DE LA MEDICINA FORENSE. fue una médico forense estadounidense que revolucionó el estudio de la criminalística. Nacida en el seno de una familia acomodada, tuvo prohibido el acceso a la universidad por ser mujer. Siempre quiso ser médico o enfermera, pero eran roles que la sociedad de la época no consideraba adecuados para alguien de su posición. Tuvo que esperar a la muerte de su hermano para iniciar sus estudios. Tenía 52 años. En 1931, junto a George Burgess Magrath, convirtió el Departamento de Medicina Legal de Harvard en un centro de formación de médicos forenses, siendo el primer programa de estudios dedicado a este área en EEUU. Tres años más tarde, crearon la Biblioteca Magrath de Medicina Legal. Comenzó a escribir informes sobre los casos sin resolver en los que plasmaba las causas y circunstancias e incluso dio un paso más allá: los recreó en dioramas (maquetas que muestran a figuras humanas como punto central de su composición) para ayudar a la policía a aclararlos. Así surgieron los ‘Nutshell studies of unexplained death’, matriz del programa universitario. Estos escenarios de muertes inexplicables presentaban la reconstrucción en miniatura de una historia completa (homicidios, suicidios, muertes accidentales…) y representaban a las víctimas reales de la época (principalmente mujeres y personas sin recursos). Llegó a crear hasta 19 dioramas y miles de objetos en miniatura. Dotó cada escena con el más mínimo detalle: tejía medias, hacía cigarrillos rellenos de tabaco, fabricaba cerraduras de puertas y ventanas… Los materiales de cada uno de ellos costaba entre 3.000 y 4.000 dólares. Este método de investigación, muy útil para resolver algunos casos en las décadas de los 40 y 50, fue pionero en la criminalística y la llevó a ostentar el título de capitana honorífica de la policía del estado de New Hampshire, siendo la primera mujer que formaba parte de la Asociación Internacional de Jefes de Policía. #FrancesGlessnerLee;Médica Forense;si;Muerte en 2022;Cartel el 27 de enero;-;EEUU;-
Joanna Rutkowska (1981);1981;25-mar;El 25 de marzo de 2011 la informática conocida por su investigación en malware y seguridad de bajo nivel. JOANNA RUTKOWSKA (1981) revela su proceso de investigación de seguridad en una entrevista otorgada a INFOSEC Security. Se presenta como una combinación de investigadora de seguridad en los sistemas operativos y de virtualización y, como una arquitecta a nivel de sistemas. Joanna nació en Varsovia, Polonia. Ya en la escuela primaria comenzó a aprender lenguaje de programación con MS-DOS. Terminó sus estudios con un Máster en Informática por la Universidad Politécnica de Varsovia. Saltó a la fama en una conferencia llamada Black Hat Briefings en agosto de 2006 donde Microsoft presentaba la nueva versión de su sistema operativo Windows Vista. Mientras se estaba explicando la seguridad de esta nueva versión, Rutkowska, desde otra sala, demostró como insertar malware en el núcleo de Windows Vista utilizando un rootkit desarrollado por ella misma, el Blue Pill. En 2007 fundó la empresa dedicada a la investigación en seguridad informática, centrada en malware y ataques a sistemas operativos, así como maneras de contrarrestarlo “Invisible Things Lab” de la que es directora. También se dedica a la formación y el asesoramiento. En 2008 se enfocaron en la seguridad del monitor de máquina virtual Xen. En 2009 presentó junto a Rafal Wojtczuk un ataque contra el Modo de Gerencia del Sistema de los procesadores Intel y se pusieron de objetivo construir un cliente OS que proporcionara una seguridad más eficiente. Crearon en 2010 un nuevo sistema operativo, Qubes OS, que usa características Linux, Xen y X. Considera que todo usuario tiene derecho a la privacidad y el derecho a mantener sus datos en un disco duro local. El 2 de enero de 2007, la revista eWeek Magazine la incluyó en la lista “Five Hackers who Left Mark on 2006”. Piensa que existe los programas antivirus tienen una debilidad inherente pues parten de una base de datos de amenazas ya identificadas. Cartel hecho por @pilar_terron @invisiblethings #JoannaRutkowska #Ingenieras #WomenInTech #Informática #SheStem #MujeresEnCiencia #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Informática;si;2021;-;-;Polonia;-
Mildred Allen (25 marzo 1894 - 4 noviembre 1990);1894;25-mar;"Un 25 de marzo nació la física Mildred Allen (1894-1990). Nació en Sharon, Massachusetts, EEUU, hija del profesor del MIT C. Frank Allen y Caroline Hadley Allen. Tenía una hermana menor, Margaret Allen Anderson. Se graduó en el Vassar College en 1916 y se doctoró en 1922 en la Universidad de Clark con Arthur Gordon Webster, con la tesis titulada On thermal emission and evaporation from water en el Instituto de Tecnología de Massachusetts (MIT). Tras la defensa de su tesis doctoral comenzó a colaborar en Yale con el físico William Francis Gray Swann, especialista en rayos cósmicos y física de altas energías y continuó trabajando bajo su dirección con la Fundación de Investigación Bartol. Hasta 1930, enseñó en Mount Holyoke, Wellesley y Oberlin Colleges y realizó un trabajo posdoctoral en la Universidad de Chicago. También investigó en la Universidad de Harvard antes de convertirse en profesora en Mount Holyoke, donde enseñó hasta su jubilación en 1959. Durante casi 20 años, desde principios de los 60, colaboró con Erwin Saxl, un físico industrial en experimentos con un péndulo de torsión pues informaron cambios anómalos en el período de un péndulo de torsión durante un eclipse solar en 1970 y plantearon la hipótesis de que ""la teoría gravitacional debe modificarse"", aunque sus medidas, y anomalías similares observadas anteriormente usando un péndulo paracónico, no han sido aceptadas por la comunidad física pues los experimentos posteriores no han logrado reproducir los resultados. Cartel hecho por @pilar_terron #MildredAllen #Física #MujeresEnCiencia #womeninsteam #girlsinscience #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy";Física;si;2022;-;-;EEUU;-
Ruth Benesch (25 de Febrero de 1925-25 de Marzo de 2000);1925;25-mar;La bioquímica Ruth Erica Benesch (1925-2000) nació un 25 de febrero.Junto a su esposo, Reinhold Benesch, estudió los mecanismos por medio de los cuales la hemoglobina transporta oxígeno a los tejidos.En 1967 descubrieron una clase especial de compuesto de fósforo, el ácido 2,3-bisfosfoglicérico, con un importante papel en el enlace entre la hemoglobina y el oxígeno. Este hecho cambió la visión del sistema de transporte de oxígeno en la investigación científica.;Bioquímica, Hemoglobina;no;-;-;-;EEUU;-
Siobhan Reddy (1979);1979;25-mar;Un 25 de marzo de 2021 la diseñadora de videojuegos y directora creativa Siobhan Reddy (1979) recibió el BAFTA Game Awards por su trabajo pionero en defensa de la diversidad, la inclusión y la cultura de trabajo creativa y colaborativa. Nació en Sudáfrica pero creció en Campbelltown, Nueva gales del Sur (Australia). Con 18 años se fue a Inglaterra y se graduó en diseño gráfico en la Universidad de Brighton. Comenzó su carrera en 1999 en Criterion Games y como artista gráfica en la empresa Black Rock Studio en 2003 donde en poco tiempo se convirtió en directora creativa por su talento y pasión por los videojuegos.En 2009, Reddy fue contratada por la empresa Media Molecule, un estudio de desarrollo de videojuegos con sede en Guildford (Inglaterra), donde se convirtió en directora de juego de LittleBigPlanet 2, uno de los juegos más exitosos de la compañía. Posteriormente, también dirigió la creación de Tearaway, otro exitoso título de la compañía que fue aclamado por la crítica y el público.En 2016, se convirtió en una de las pocas que lideran un estudio de videojuegos a nivel mundial al ser nombrada directora del estudio de desarrollo de videojuegos Sony Interactive Entertainment Europe, donde ha producido algunos de los títulos más destacados de la PlayStation 4, como Dreams y el remake de Shadow of the Colossus.Ha sido miembro de la junta directiva de la Asociación de Desarrolladores de Videojuegos del Reino Unido, y ha hablado en numerosas conferencias sobre la necesidad de fomentar la diversidad y la inclusión en la industria de los videojuegos.Ha sido galardonada con numerosos premios entre los que destacan el 2009 Microsoft Women in Gaming Awards, el Innovator 2014, el BAFTA a la Mejor Dirección de Juego en 2013 y en 2014 el reconocimiento como una de las 100 mujeres más influyentes del Reino Unido por la BBC, Mujer australiana del año por Qantas, nombrada entre las 10 mujeres poderosas en el juego de Fortune y preseleccionada en los premios hclub100 de The Hospital Club. Cartel hecho por @pilar_terron#SiobhanReddy#Videojuegos#MujeresEnVideojuegos#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy ;Videojuegos;si;2023;-;-;Australia;-
 Magdalena Mouján Otaño (26 de marzo de 1926-17 de julio de 2005);1926;26-mar;La matemática Magdalena Mouján Otaño (1926-2005) nació un 26 de marzo.En la década de los años 1960, entró a formar parte de la Comisión Nacional de Energía Atómica y fue una de las primeras personas en trabajar con la computadora Clementina. Parte de los cálculos realizados con ayuda de ese ordenador se utilizaron en la construcción del reactor RA1.Se dedicó a la docencia y escribió varios relatos de ciencia ficción. En 1968 se publicó su relato Gu ta gutarrak, considerado como el relato argentino de ciencia ficción más reeditado.;Matemática, Divulgadora;no;-;-;-;España;-
